id,category,title,insight,evidence,basis,related_kpa,source_page
si-01,priority,Revenue must nearly double,Mainland net revenue is planned to rise from ~TZS 40tn to ~TZS 75tn (16.7% CAGR) and tax-to-GDP from 14.5% to 18%.,Revenue projections and yield targets.,Documented,kpa1,26
si-02,priority,Digital & data is the primary lever,"The largest transformation bet is KPA 2 — automation, integration, analytics and AI — as the engine for revenue and efficiency.","KPA 2 scope: automation to 100%, systems 90→300, AI/ML models.",Documented,kpa2,65
si-03,priority,Widen the base into the informal economy,"Bringing informal and digital-economy actors into the net is a core growth path, not just enforcement.",Informal-sector registration/participation and non-resident digital KPIs.,Documented,kpa1,65
si-04,priority,Rebuild trust and voluntary compliance,"Growth is pursued through fairness, transparency and service — a stakeholder-trust index anchors KPA 3.",Stakeholder trust index 75→98; voluntary-compliance KPIs.,Documented,kpa3,72
si-05,dependency,Systems integration unlocks everything,"Analytics, risk models and self-service depend on integrating internal and external systems and data quality first.",Systems 90→300; data-quality and freshness pre-conditions.,Inferred,kpa2,67
si-06,dependency,Data-sharing law and partners,Third-party data (government and private) is needed for informal-sector insight and compliance — requires legal mandates and partners.,New data-sharing agreements and third-party integration KPIs.,Inferred,kpa1,62
si-07,dependency,Financing must be front-loaded,Capital (especially ICT) is planned early; delays in the ~TZS 10.6tn financing would push all downstream targets.,"Front-loaded capital financing assumption; ~TZS 10,596bn requirement.",Documented,kpa5,39
si-08,dependency,Workforce capacity precedes delivery,"Targets assume ~13,428 skilled staff and major reskilling; hiring/skills lag would bottleneck delivery.","Workforce 8,775→13,428; digital-skills and training KPIs.",Inferred,kpa4,37
si-09,risk,Skills scarcity,"Specialised ICT, analytics, AI and cybersecurity talent is scarce regionally and may be hard to hire and retain.",Skills-based hiring emphasis; digital-skills targets.,Inferred,kpa4,78
si-10,risk,Cybersecurity & data exposure,"More systems, integrations and shared data enlarge the attack surface and privacy risk.",Cyber-threat reduction and data-governance breach KPIs.,Documented,kpa2,69
si-11,risk,Legacy systems & integration,Ageing infrastructure and incomplete digitalisation are named barriers that could slow the digital agenda.,Structural barriers: ICT performance and poor data integration.,Documented,kpa2,15
si-12,risk,Financing & DP dependency,Reliance on stable government budgets and development-partner support exposes the plan to fiscal shifts.,Financing assumptions on government and DP support.,Inferred,kpa5,41
si-13,risk,Change adoption,A transformation this broad can stall if staff and taxpayers do not adopt new systems and behaviours.,Change-adoption and stakeholder-training KPIs from 0% baselines.,Inferred,kpa4,79
si-14,gap,Analytics & AI capability,Moving from few to many production AI/ML models implies a capability the institution is still building.,AI/ML models 2→10; analytics-driven eligibility from 0%.,Inferred,kpa2,68
si-15,gap,Informal-economy insight,TRA explicitly flags marginal insight into the informal economy as a structural barrier to close.,Structural barrier: size of the informal economy.,Documented,kpa1,15
si-16,gap,Organisational & project capacity,"Capacity gaps in planning, project execution, change and procurement are named barriers.",Structural barrier: organisational design and capacity gaps.,Documented,kpa4,15
si-17,leverage,Third-party & digital data,Access to third-party and digital-platform data is a high-leverage move to widen the base cheaply.,Third-party data integration and non-resident digital KPIs.,Inferred,kpa2,67
si-18,leverage,ITA as a talent & research engine,"Scaling ITA training, certification and research can supply the very skills the plan needs.","ITA programme, e-learning, exchange and research KPIs.",Inferred,kpa3,66
si-19,success,"Interoperable, secure platforms","Delivery hinges on systems that integrate cleanly, stay up (99.9%+) and are secure by design.","Integration, uptime and cybersecurity KPIs.",Inferred,kpa2,66
si-20,success,Trust as a growth strategy,"Sustained revenue depends on taxpayers experiencing fair, simple, transparent service.","Trust index, service and public-reporting KPIs.",Documented,kpa3,72
si-21,theme,From enforcement to service,"A quiet shift runs through CP-7: growth via better service, data and trust rather than enforcement alone.","Voluntary compliance, self-service and stakeholder KPIs across KPAs.",Inferred,kpa3,17
si-22,theme,"Institution-building, not just collection","Ethics, ESG, wellbeing, research and capability signal a bid to become a modern, credible institution.",KPA 4 ethics/ESG/health and KPA 3 research/ESG KPIs.,Inferred,kpa4,82
