id,title,type,audiences,sector,description,evidence,basis,related_kpa,source_page
op-01,Supply and integrate core tax & customs systems,Procurement,tech_companies|consultants|startups,ICT systems & software,"TRA is modernising IDRAS/TANCIS-era systems, automating core processes and integrating 90→300 systems — large procurement and integration work.",Systems integrated 90→300; automation toward 100%.,Documented,kpa2,66
op-02,Build analytics & AI risk models,Innovation,tech_companies|data_professionals|startups,"Data, analytics & AI","Demand for AI/ML fraud and risk models, analytics-driven eligibility and a unified data platform.",AI/ML models 2→10; analytics-driven eligibility 0→55%.,Documented,kpa2,68
op-03,Provide cybersecurity & data-governance services,Business,tech_companies|consultants,Cybersecurity & data governance,"As systems and data grow, TRA needs cyber defence, data-quality and governance tooling and audits.",Cyber-threat reduction 7%→60%; data-quality 60→95%.,Documented,kpa2,69
op-04,Formalise and serve informal-sector taxpayers,Business,startups|private_companies|financial_institutions,Financial services & digital payments,"Bringing the informal economy into the tax net opens fintech, registration, and simple digital-service markets.",Informal-sector registration and participation KPIs (0→100%).,Documented,kpa1,65
op-05,Digital payments & non-resident digital taxation,Investment,financial_institutions|tech_companies|investors,Financial services & digital payments,Integrating digital payment channels and taxing non-resident digital services creates fintech and data-sharing plays.,Digital payment channel integration; non-resident digital revenue KPIs.,Documented,kpa2,67
op-06,"Deliver training, e-learning & certification",Business,private_companies|academics|ngos,Professional training & education,"ITA is expanding programmes, e-learning platforms and public certification — content, LMS and delivery partners are needed.",e-learning courses 5→30; ITA programme expansion.,Documented,kpa3,66
op-07,"Construct campuses, offices and staff housing",Procurement,private_companies|manufacturers|investors,Construction & facilities,"An ITA Academic Building, Misugusugu campus, office and staff-housing works and renovations are planned.",Completion KPIs for Academic Building and Misugusugu (0→100%).,Documented,kpa4,80
op-08,Trade-facilitation & logistics services,Business,private_companies|manufacturers|investors,"Customs, logistics & trade","Halving clearance time and the AEO programme reward efficient logistics, brokers and compliant traders.",Clearance time 8→4 days; AEO consignment inspection falling 15→10%.,Documented,kpa5,90
op-09,ESG advisory & implementation,Business,consultants|academics|ngos,ESG & management consulting,"ESG is being institutionalised from a 0% base across governance, operations and performance.",ESG integration 0→80%; ESG governance structures 0→75%.,Documented,kpa3,76
op-10,"Research, policy briefs & consultancy",Research,researchers|academics|consultants,Research & consultancy,"Research proposals, EOIs, RFPs, external consultancies and journal output are all targeted to grow.","Research outputs, papers 4→16, consultancies 1→5.",Documented,kpa5,89
op-11,Change-management & transformation advisory,Business,consultants|private_companies,ESG & management consulting,"A workforce and systems transformation needs adoption, communication and capability partners.",Change-management integration and stakeholder-training KPIs (0→100%).,Inferred,kpa4,79
op-12,Enterprise risk & assurance services,Business,consultants|financial_institutions,ESG & management consulting,"Risk registers, ERM committees and internal-control targets create assurance and audit-tech demand.",ERM and risk-tolerance KPIs at 100%.,Documented,kpa4,82
op-13,Third-party data partnerships,Innovation,tech_companies|financial_institutions|private_companies,"Data, analytics & AI",TRA plans many new data-sharing agreements to widen compliance intelligence — data providers can partner.,New data-sharing agreements 47 baseline; third-party data integration.,Documented,kpa1,62
op-14,"Health, wellness & NCD/HIV services",Business,ngos|private_companies,Health & wellness services,"Staff wellness, screening, counselling and NCD/HIV programmes are funded across ~13,000 staff.",Screening 0→95%; wellness and VCT-service KPIs.,Documented,kpa4,84
op-15,Develop TRA workforce careers,Employment,job_seekers|graduates|students,ICT systems & software,"The workforce grows from 8,775 to 13,428, with priority on ICT, analytics, audit and enforcement roles.","Workforce 8,775→13,428; skills-based hiring in ICT/analytics/audit.",Documented,kpa4,37
op-16,Fund and co-finance transformation,Funding,development_partners|investors|financial_institutions,ICT systems & software,A ~TZS 10.6tn plan front-loads ICT capital and welcomes development-partner support — co-financing and vendor finance openings.,"CP-7 financial requirement ~TZS 10,596bn; DP support assumed.",Documented,kpa5,39
op-17,"Supply working tools, equipment & vehicles",Procurement,private_companies|manufacturers,Construction & facilities,"Planned procurement of logistics items, working tools, equipment and facilities across the plan.",Planned tools/equipment and logistics procurement KPIs (80→98%).,Documented,kpa4,81
op-18,Taxpayer education & media campaigns,Business,private_companies|ngos|media,Media & communications,"Taxpayer education, communication channels and informal-sector awareness campaigns scale up.",Communication channels 7→12; awareness campaigns; customised comms.,Documented,kpa3,73
op-19,Build a compliance-tech / regtech startup,Startup,startups|data_professionals|investors,"Data, analytics & AI","Automation, self-service, e-filing and analytics create room for local regtech and taxpayer-facing products.",Self-service features 5→30; automation and e-services expansion.,Inferred,kpa2,66
op-20,Skills & curriculum partnerships with ITA,Capacity,academics|ngos|development_partners,Professional training & education,"ITA seeks strategic partnerships, staff/student exchange and joint research with academia.","Partnerships, exchanges (10→80) and joint research KPIs.",Documented,kpa3,74
