id,audience,group,why_it_matters,opportunities,actions,skills,sectors_to_watch,engage_with
aud-students,Students,Learn & prepare,"Tomorrow’s hiring and consulting demand at TRA and its suppliers is data, digital and audit heavy.","Scholarships and ITA programmes; early-career roles in ICT, analytics and audit.","Choose data, ICT, cybersecurity, accounting/tax or public-finance tracks; build a portfolio project on open data.",Data science|AI/ML|Cybersecurity|Tax & customs domain expertise,"Data, analytics & AI|ICT systems & software",ITA (Institute of Tax Administration)|Universities
aud-jobseekers,Job seekers & graduates,Position for hiring,"TRA adds ~4,650 staff by 2030/31, prioritising ICT, analytics, audit and enforcement.","Direct employment; supplier and contractor roles in systems, construction and training.",Target ICT/analytics/audit roles; get certified in data or cybersecurity; watch TRA and vendor vacancies.,"Data engineering & systems integration|Software development & automation|Monitoring, evaluation & learning (MEL)","ICT systems & software|Customs, logistics & trade",TRA|System integrators
aud-researchers,Researchers & academics,Partner & publish,"ITA is scaling research, journals, joint projects and consultancies with academia.","Joint research, policy briefs, EOIs/RFPs, exchange programmes and consultancy work.","Propose joint research with ITA; publish on tax, digital economy and compliance; pursue consultancy EOIs.",Research & academic writing|Behavioural & taxpayer insight|Public finance & revenue policy,Research & consultancy|Professional training & education,ITA|Universities|Development partners
aud-gov,Government employees,Adapt & lead,"Digitalisation, results-based management and ethics reshape how public work is done and measured.","Reskilling, new digital and M&E roles, cross-agency data collaboration.","Build digital, data and change-management skills; align your unit’s data for sharing; strengthen ethics compliance.","Change management|Monitoring, evaluation & learning (MEL)|Data governance & data quality",ICT systems & software|ESG & management consulting,TRA|Ministry of Finance|NIDA
aud-policymakers,Policymakers & Parliament,Enable & oversee,"CP-7 depends on legislation, data-sharing mandates and financing decisions to deliver revenue growth.","Shape enabling law, oversee ~TZS 10.6tn spend, and unlock data-sharing and digital-economy taxation.",Track KPA delivery; enable data-sharing and digital-services tax law; monitor capital-spend sequencing.,Public finance & revenue policy|Data privacy & law|Enterprise risk management,Tax advisory & compliance services|Financial services & digital payments,TRA Board|Ministry of Finance|Parliament
aud-private,Private companies,Supply & comply,"TRA is both a major buyer (systems, construction, services) and a regulator raising compliance expectations.","Procurement and integration contracts; faster customs; but tighter, data-driven audits.",Bid for TRA procurement; prepare for data-driven audits and e-filing; pursue AEO status for faster clearance.,Project & procurement management|Tax & customs domain expertise|Data engineering & systems integration,"ICT systems & software|Customs, logistics & trade",TRA procurement|Customs (CED)
aud-startups,Startups,Build products,"Automation, self-service and analytics leave gaps for local regtech, fintech and taxpayer tools.","Regtech, fintech, informal-sector onboarding, and data products.",Prototype against TRA’s digital direction; partner for third-party data; target informal-sector simplicity.,Software development & automation|Digital payments & fintech|Data science & analytics,"Data, analytics & AI|Financial services & digital payments",TRA (ICTD)|Financial institutions
aud-investors,Investors & financial institutions,Finance growth,"A large, front-loaded, partly DP-supported capital programme creates vendor-finance and co-investment openings.","Co-financing, vendor finance, fintech and infrastructure plays tied to the plan.",Map the ~TZS 10.6tn spend to bankable packages; co-finance ICT/infrastructure; back compliance-tech ventures.,Public finance & revenue policy|Project & procurement management,ICT systems & software|Construction & facilities,TRA|Ministry of Finance|Development partners
aud-dp,Development partners & NGOs,Support & align,CP-7 assumes development-partner support and aligns to MTRS/FYDP-IV and international standards (OECD/ATAF).,"Technical assistance, capacity building, co-financing and joint programmes.",Fund priority ICT/capacity work; support informal-sector inclusion and ESG; align to CP-7 KPIs.,"Monitoring, evaluation & learning (MEL)|Change management|ESG & sustainability",Professional training & education|ESG & management consulting,TRA|IMF|World Bank|OECD|ATAF
aud-tech,Technology companies,Deliver systems,"TRA’s digital KPA is the single biggest opportunity — systems, integration, AI and security.","Core systems, integration, AI/ML, cybersecurity, cloud and payments contracts.","Position for integration and AI tenders; offer secure, interoperable, locally supportable platforms.",Data engineering & systems integration|AI / machine learning|Cybersecurity|Cloud & infrastructure engineering,"ICT systems & software|Data, analytics & AI",TRA (ICTD)|System integrators
