id,skill,category,demand,why_it_matters,where_in_strategy,basis,related_kpa,source_page
sk-01,Data science & analytics,Data,High,"Turns TRA data into risk scores, forecasts and eligibility signals — the core of the digital KPA.",Analytics-driven tax eligibility and data-quality targets; unified enterprise data platform.,Inferred,kpa2,67
sk-02,AI / machine learning,Digital,High,Powers fraud detection and predictive risk models TRA is deploying into production.,AI/ML predictive risk & fraud models scale from 2 to 10; accuracy target 60→90%.,Documented,kpa2,68
sk-03,Cybersecurity,Digital,High,Protects rapidly growing digital systems and taxpayer data from rising threats.,Cyber-threat reduction KPI (7%→60%); data-governance breach controls.,Documented,kpa2,69
sk-04,Data engineering & systems integration,Technical,High,Connects internal and external systems into one enterprise data platform.,Systems integrated 90→300; ETL/data pipelines and data-freshness targets.,Documented,kpa2,67
sk-05,Software development & automation,Technical,High,Builds the automated processes and self-service features TRA is scaling.,Core processes automated toward 100%; new self-service features 5→30.,Documented,kpa2,66
sk-06,Data governance & data quality,Data,Rising,Makes the data trustworthy enough to drive decisions and compliance.,Data-quality score 60→95%; critical-data ownership 10→100%.,Documented,kpa2,69
sk-07,"Monitoring, evaluation & learning (MEL)",Research,High,CP-7 is results-based; every objective is tracked by KPIs needing skilled M&E.,A full RBM&E framework and MEL function are built into the plan.,Documented,kpa5,86
sk-08,Tax & customs domain expertise,Policy,High,"Underpins audits, post-clearance checks, objections and the widening tax base.","Enhanced audit/enforcement, post-clearance audit and informal-sector work.",Documented,kpa1,59
sk-09,Public finance & revenue policy,Policy,Rising,Shapes evidence-based tax policy and legislative reform for gap closure.,Evidence-based policy recommendations and estimated revenue-impact targets.,Documented,kpa1,63
sk-10,Change management,Leadership,Rising,A workforce and systems transformation of this scale depends on adoption.,Change-management integration and stakeholder-training KPIs (0→100%).,Documented,kpa4,79
sk-11,Project & procurement management,Leadership,Rising,"Delivers the capital projects, systems and framework contracts on time.","Procurement digitisation, framework contracts and on-time delivery KPIs.",Documented,kpa5,85
sk-12,Research & academic writing,Research,Rising,"ITA is scaling research output, journals, EOIs and consultancies.","Research outputs, papers, policy briefs and consultancies all targeted to grow.",Documented,kpa5,89
sk-13,ESG & sustainability,Policy,Emerging,"ESG is being embedded into governance, operations and performance for the first time.",ESG integration KPIs move from a 0% baseline to 75–80%.,Documented,kpa3,76
sk-14,Enterprise risk management,Leadership,Rising,Keeps a large transformation within risk tolerance and on track.,"ERM committees, risk registers and risk-tolerance KPIs at 100%.",Documented,kpa4,82
sk-15,Digital payments & fintech,Digital,Rising,Enables taxing the digital economy and integrating payment data.,Digital payment channel integration; non-resident digital revenue KPIs.,Documented,kpa2,67
sk-16,"UX, service & instructional design",Digital,Emerging,"Makes self-service, taxpayer education and e-learning genuinely usable.","Self-service features, taxpayer communication and e-learning expansion.",Inferred,kpa3,66
sk-17,Behavioural & taxpayer insight,Research,Emerging,Voluntary compliance and informal-sector inclusion rest on understanding taxpayers.,"Voluntary-compliance, trust-index and informal-sector participation KPIs.",Inferred,kpa3,72
sk-18,Communications & public engagement,Leadership,Rising,"Trust and education targets need strong, consistent public communication.","Stakeholder perception, communication-channel and public-access KPIs.",Documented,kpa3,73
sk-19,Data privacy & law,Policy,Rising,Third-party data sharing and analytics raise real privacy and legal duties.,New data-sharing agreements and third-party data integration KPIs.,Inferred,kpa1,62
sk-20,Cloud & infrastructure engineering,Technical,Rising,Scales systems to high uptime as workloads and integrations grow.,System-uptime targets (99.9%+) and network/bandwidth upgrades.,Documented,kpa4,79
