source,target,weight,basis
fin,digital,5,Documented
fin,ops,3,Documented
fin,gov,2,Inferred
data,ai,5,Documented
data,digital,3,Documented
ict,digital,5,Documented
ict,ai,4,Documented
work,digital,3,Documented
work,ai,2,Inferred
work,gov,2,Documented
work,ops,2,Inferred
work,trust,1,Inferred
law,gov,3,Inferred
law,ai,2,Inferred
law,trust,2,Inferred
digital,eff,4,Documented
digital,rev,3,Inferred
ai,base,4,Documented
ai,rev,3,Inferred
ops,eff,4,Documented
ops,rev,2,Inferred
trust,comp,5,Documented
trust,base,2,Inferred
gov,comp,3,Inferred
gov,eff,1,Inferred
