term,definition_plain,source_page
Tax-to-GDP ratio,The share of the economy collected as tax; a common measure of how much revenue a country raises relative to its size.,7
Tax base,"The total set of people and businesses that can legally be taxed. ""Widening the tax base"" means bringing more taxpayers into the system.",17
Voluntary compliance,"When taxpayers pay what they owe on time without being forced, because the system is trusted, fair and easy to use.",17
Tax yield,Revenue collected as a percentage of GDP — how productively the tax system converts economic activity into revenue.,26
Cost of collection,"How much TRA spends to collect each 100 shillings of revenue, shown as a percentage. Lower is more efficient.",26
CAGR,Compound Annual Growth Rate — the steady yearly rate at which a figure grows over several years.,26
KPA,Key Performance Area — one of the five big priority areas around which CP-7 is organised.,17
KPI,"Key Performance Indicator — a specific, measurable metric used to track progress toward a target.",17
Baseline,The starting value of a metric (usually 2025/26) against which future targets are measured.,58
MTRS,"Medium Term Revenue Strategy — a government plan (2025/26–2027/28) to raise domestic revenue, developed with IMF support.",3
PTRC,Presidential Tax Reform Commission — a commission whose 2026 report proposed 284 tax reforms in seven areas.,3
FYDP-IV,The Fourth Five-Year National Development Plan (2026/27–2030/31) that CP-7 is aligned to.,2
DIRA 2050,"Tanzania National Development Vision 2050, the long-term national vision CP-7 supports.",2
VAT,Value Added Tax — a tax charged on most goods and services at each stage of sale.,36
PAYE,Pay As You Earn — income tax deducted from employees’ salaries by their employer.,36
Post-clearance audit,"A customs check done after goods have been released, to verify the right duties and taxes were paid.",58
Trade facilitation,"Making cross-border trade faster, simpler and cheaper while keeping proper controls.",24
Domestic revenue,"Taxes collected inside the country (e.g. income tax, domestic VAT), as opposed to customs at the border.",58
Non-tax revenue,"Government income that is not a tax, such as fees, fines, levies and charges.",26
Informal economy,"Economic activity that is not registered or taxed, such as unregistered small traders.",15
